nama_model,kode_model
BMW R 1200 GS,744
Honda CRF 1100,624
Suzuki V-Strom 1000,723
Harley-Davidson 1200 Custom,672
Honda CBF 1000,1864
Harley-Davidson Sportster,525
Triumph Street Scrambler,470
Ducati Multistrada 1200,521
Ducati,929
Ducati Monster 821,697
KTM,719
Harley-Davidson XR 1200,209
Honda CB 650,136
BMW R 1200 GS,1045
BMW F 800 GS,2044
Kawasaki Versys 650,781
Yamaha TMAX SX,1867
Honda NC 750,781
Triumph Street Triple R,293
Honda NC 750,643
Benelli Pepe,209
Harley-Davidson Electra Glide,136
BMW R 1200 GS,136
Aprilia Scarabeo,2041
BMW C 650,1726
Yamaha TMAX 530,726
Suzuki Burgman 200,1751
Honda CBF 600,515
Suzuki GSX-S 750,533
Ducati Monster 1100,873
Ducati Scrambler,519
Husqvarna Vitpilen,2051
Ducati Monster 797,171
Yamaha Tracer 900,211
BMW K 1300 S,827
BMW R 1200 GS LC,533
Honda VTR 1000,516
Ducati Scrambler,1790
Ducati Monster 1200,2051
Suzuki VS 1400,763
Yamaha YFM 700,209
Honda Forza 250,136
BMW R 1200 GS,705
Aprilia SX 50,473
Honda,190
Ducati 1000 Sport,2027
BMW R 100/7,136
Yamaha Niken,1362
BMW C 650 GT,649
Moto Guzzi V 7,681
Harley-Davidson Fat Boy,1033
Harley-Davidson Street Glide,1485
Kawasaki Ninja ZX-10R,1130
Piaggio Beverly 350,799
Kymco Like 125,1986
Honda SH 150,533
Yamaha,446
Ducati Scrambler,895
Daelim S3,744
Indian FTR 1200,136
Honda CRF 1100,169
BMW F 750 GS,1636
BMW K 1300 GT,136
SYM Fiddle 50,209
Aprilia Scarabeo,627
BMW R 1200 GS,1060
Harley-Davidson CVO Breakout,705
Kawasaki Z 900,1043
Honda,1431
Kawasaki VN 900,638
PGO X-Rider 150,835
Harley-Davidson Dyna Street Bob,2017
Honda X-ADV,136
Yamaha MT-10,1366
BMW C 400 X,1044
Moto Guzzi V 9,212
Kawasaki Versys 1000,705
BMW R 1200 R,1060
Honda,2044
Kawasaki Z 900,309
Yamaha TMAX SX,1947
Beta Ark 50,643
Vespa S 50,623
Harley-Davidson Electra Glide,1641
Harley-Davidson,1989
SYM HD 200,808
Yamaha BWs,1398
Honda Shadow 750,525
Niu N1S,1121
Ducati Multistrada 1200,989
Kymco Downtown 300i,681
Kawasaki,790
Harley-Davidson Street Glide,1785
Honda PCX 125,215
Suzuki V-Strom 650,209
BMW R 1200 RT,136
BMW R 1200 GS,255
Aprilia RSV4,1163
BMW R nineT,142
Kymco Super 8,259
BMW F 900 XR,2051
BMW S 1000 RR,218
Yamaha XSR 700,2051
BMW R 1250 GS,1050
Yamaha XVS 1300,2051
Kawasaki W 800,649
Yamaha YZF-R1,209
Harley-Davidson Fat Boy,1852
BMW R 1200 GS,2015
Triumph Rocket III Touring,631
Yamaha MT-07,1294
Harley-Davidson Custom Bike,136
Mash Seventyfive 125,210
BMW,1172
BMW R 1200 GS Adventure,1519
Kymco X-Town,1883
Piaggio TPH 50,215
Triumph Tiger 800,136
BMW R 1200 RT,136
BMW F 700 GS,2051
Access Shade Sport 850,2051
Znen S Znen-King,2022
Yamaha YZF 750,255
Yamaha Majesty 400,1041
BMW R nineT,389
Kawasaki VN 2000,653
CF Moto CForce 800,136
Harley-Davidson Heritage Softail,931
BMW C 400 GT,639
KTM 1090 Adventure,390
Harley-Davidson Dyna Super Glide,781
CF Moto CForce 820,826
Honda NC 750,739
Honda VT 750,929
Honda CMX 500,970
KTM,1869
KTM 690 SMC,1891
Triumph Street Twin,1060
Triumph Trident T 150,209
Kawasaki Z 900,2041
BMW R 1200 GS,515
Yamaha TMAX 530,635
Ducati Monster 1100,413
Harley-Davidson Dyna Fat Bob,1116
Can Am Maverick,1785
Kymco Dink 125,1409
Suzuki V-Strom 650,656
Online,2051
Harley-Davidson Iron 883,138
Yamaha YZF-R1,1975
BMW F 800 R,136
Victory Vision Tour,716
BMW C 650 GT,790
Honda CB 500,1883
Honda PCX 125,677
Triumph Tiger 800,136
Harley-Davidson Sportster XL 883,345
Aprilia Caponord 1200,2051
Bombardier Outlander 650,929
Yamaha XT 1200,624
KTM,727
Harley-Davidson 1200 Custom,516
Honda CBR 1000,2051
Ducati Monster 1200,2051
Yamaha YZF-R1,993
Yamaha XSR 700,931
Kawasaki 750 H2,181
KTM 1090 Adventure,781
BMW R 100,1060
Honda NC 750,762
Kawasaki Z 900,800
Honda Forza 125,710
Honda SH 300,2051
Honda CB 1000,525
Yamaha XSR 700,2015
Ducati Multistrada 1200,258
Yamaha MT-07,771
BMW S 1000 R,372
Honda Gold Wing,897
Buell XB 12,1294
Indian Scout,137
Mash Seventyfive 125,2051
BMW F 800 GT,209
Yamaha YZF 1000,256
BMW R 1200 GS,2051
BMW R18,1660
Yamaha XT 1200,727
SYM Symphony 125,623
Honda CBR 1000,1255
Harley-Davidson,743
MV Agusta Turismo Veloce 800,210
Honda CRF 1000,533
BMW R 1200 GS Adventure,687
Ducati Scrambler,2051
Harley-Davidson Ultra Classic,674
Zero Zero DSR,296
Harley-Davidson Sportster 1200,1742
Benelli TNT 1130 Cafe Racer,1840
Suzuki GSX 650,1050
Triumph Bonneville SE,1505
Kawasaki W 800,1777
Piaggio MP3 500,939
Suzuki SV 650,929
KTM 125 XC,1072
KTM,1882
Kawasaki ZZR 1400,1059
Triumph Tiger 1200,509
Kawasaki Z 800,881
Ducati Hypermotard 821,215
Hyosung GT 250i,824
BMW R 1200 RT,771
Honda VT 1300,1846
Honda Gold Wing,1239
Triumph Daytona 675,1869
MV Agusta Brutale 800,516
Triumph Street Twin,1843
Ducati Monster 1200,653
Triumph Bonneville T120,222
Harley-Davidson Heritage Softail,851
BMW R 1250 RT,211
Husqvarna,1416
BMW R 1200 GS LC,971
Others,1060
KTM 690 Supermoto,1525
Kawasaki Z 900,2015
Piaggio XEvo 125,533
Yamaha MT-07,710
Ducati Scrambler,2051
Honda CB 1000,2016
Yamaha X-Max 400,2051
Yamaha MT-09,136
Yamaha Tracer 900,255
Arctic Cat 1000,932
BMW R nineT,510
KTM 1190 Adventure,1843
Ducati Hypermotard 939,222
Triumph Bonneville T120,778
BMW R 1250 RT,474
Honda MSX 125,1032
Ducati 1098,209
Kawasaki Ninja H2,669
BMW R 1200 GS,623
Harley-Davidson Softail,136
Harley-Davidson,1749
Aprilia RS 660,2051
Suzuki GSX-S 1000,1012
Yamaha Tracer 700,1833
Kawasaki KFX 700,1851
Triumph,669
Triumph Rocket III Roadster,929
Harley-Davidson Softail,1986
KTM,1165
Yamaha,258
Kymco Super Dink 125,897
BMW S 1000 R,1883
Indian Scout,1416
Triumph Tiger 800,1886
Others,1060
Triumph Tiger Explorer,209
Kawasaki Z 900,255
BMW R 1200 GS,744
BMW R nineT,1148
Honda CRF 1100,679
Kymco Myroad 700i,212
Harley-Davidson Sportster XR 1200,649
BMW R 1200 R,2051
